id,uri,prefLabel,altLabel,definition,broader,narrower,isTopConcept
15626,http://mondomaine.fr//?idc=15626&idt=th943,hardware,computer hardware,<p>Ensemble des composants physiques et des périphériques d'un ordinateur.</p>,bewegliche Gegenstände,server,False
16030,http://mondomaine.fr//?idc=16030&idt=th943,Oscan language,idioma osco | lingua osca | Oscan | Oskisch | osque,"L'osque est une langue aujourd'hui disparue, appartenant au groupe sabellique des langues italiques, elles-mêmes rattachées à la grande famille des langues indo-européennes. C'est une langue cousine du latin, avec lequel elle partage une structure grammaticale commune. (wp)",langues sabelliques,lingua marrucina | lucanien (langue),False
13542,http://mondomaine.fr//?idc=13542&idt=th943,banca dati,banque de données | BD | database | database system,Ensemble de données logiquement reliées entre elles et accessibles au moyen d’un logiciel spécialisé. (Rob.),digital objects,banca dati bibliografica | banca dati cartografica | banca dati documentaria | banca dati fattuale | banca dati grafica | banca dati multimediale,False
18204,http://mondomaine.fr//?idc=18204&idt=th943,sceau,cachet (objet) | tampon,"Cachet où sont gravés en creux des signes propres à une autorité souveraine, à un corps constitué ou à un simple particulier, et qu'on applique sur une matière molle, cire ou plomb, afin que l'empreinte en relief ainsi réalisée atteste l'authenticité, l'autorité, la validité des documents sur lesquels il est apposé, ou les close afin d'en tenir caché le contenu.(cnrtl)",matrice (forma),bolla | cachet d'oculiste | cachet pyramidal | tamga | escarabeo | cilinderzegel,False
13318,http://mondomaine.fr//?idc=13318&idt=th943,archieven,archives administratives,"A collection of documents not in common use, collected, catalogued and preserved to serve as a record of the history of a community or an individual. | Ensemble de documents hors d'usage courant, rassemblés, répertoriés et conservés pour servir à l'histoire d'une collectivité ou d'un individu.",literarische Objekte,archives privées | archives judiciaires | archaeological archives | archives royales,False
14657,http://mondomaine.fr//?idc=14657&idt=th943,estampilla,bollo | firma del ceramista | firma del vasaio | marchio del ceramista | marque de potier | potter's stamp | signature de potier | timbre,"Marque originale ou officielle, cachet apposé à un document écrit, à une marchandise, à un meuble, pour garantir son authenticité ou son origine, pour attester le paiement de droits fiscaux. (cnrtl)",Herstellermarke,bollo laterizio | Lampenstempel | marca de teja | clay stamp on a vase,False
17191,http://mondomaine.fr//?idc=17191&idt=th943,semiologia,séméiologie | Semiologie | semiotica | semiótica | semiotic studies | sémiotique,Science étudiant les systèmes de signes (Rob.),ciencias humanas y sociales,grafische semiologie | Erzähltheorie,False
14459,http://mondomaine.fr//?idc=14459&idt=th943,dialetto dorico,Dorian | dorien | dorien (langue) | griego dórico | West Greek,"Dialecte du grec ancien. Ses variantes ont été parlées au sud et à l'est du Péloponnèse, en Crète, à Rhodes, dans quelques îles du sud de la mer Égée, ainsi que dans quelques villes côtières d'Asie Mineure, en Grande-Grèce, en Épire et en Macédoine. (Wikipédia)",groupe occidental,Ionic Greek | argien (dialecte) | Corinthian dialect,False
15858,http://mondomaine.fr//?idc=15858&idt=th943,metrica,rythmique,علم وزن الشعر يختص بدراسة العناصر التي تدخل في تركيب أبيات الشعر و يقابله العروض التي تختص بمعرفة أوزان الشعر العربي | Science qui étudie les éléments dont sont formés les vers (Lar.) (poésie),poetica,ancient Greek meter | lateinische Metrik | Arabic prosody,False
17714,http://mondomaine.fr//?idc=17714&idt=th943,äthiosemitische Sprachen,Abyssinian | afrosemítico | Ethiopian | Ethiopian languages | Ethiopian Semitic | Ethiopic | Ethiosemitic | Ethio-Semitic | langues afrosémitiques | langues éthiopiennes | langues éthiopiques,"Les langues éthiosémitiques, dites également afrosémitiques ou moins précisément éthiopiques, sont une famille de langues parlées principalement en Éthiopie et en Érythrée. Elles forment avec les langues sudarabiques anciennes et modernes la branche méridionale de la famille des langues sémitiques. (Wikipédia)",langues sémitiques méridionales,Amhaars | Ge'ez | idioma tigriña | idioma tigrè,False
15399,http://mondomaine.fr//?idc=15399&idt=th943,Afroasiatic languages,Afrasian languages | Afro-Asiatic languages | afro-asiatique | afro-asiatique (langue) | afroasiatique (langue) | Erythraean | Hamito-Semitic language | Hamito-Semitisch | langue chamito-sémitique | langue chamitosémitique | langues chamito-sémitiques | langues chamitosémitiques | lenguas camito-semíticas | lingue camito-semitiche | Lisramic | Semito-Hamitic language | Semito-Hamitisch,"<p>Les langues chamito-sémitiques — appelées de façon plus descriptive langues afro-asiatiques — sont une famille de langues parlées principalement en Afrique du Nord, dans la Corne de l'Afrique, au Moyen-Orient, dans le Sahara et dans une partie du Sahel. En plus des langues parlées aujourd'hui, le groupe chamito-sémitique comprend plusieurs langues anciennes importantes, telles que l'égyptien ancien, l'akkadien et le guèze. (Wikipédia)</p>",idioma,Cushitic languages | langues sémitiques | ägyptische Sprache | Chadic languages | langues omotiques | berberische Sprache,False
16573,http://mondomaine.fr//?idc=16573&idt=th943,équipe de recherche,grupo de investigación | gruppo di ricerca | recherche équipe,Comprend toute sorte de groupement de personnes dédié à la recherche (EB et BL),groupes et collectivités,dirección (equipo),False
15137,http://mondomaine.fr//?idc=15137&idt=th943,ebraico (lingua),hébreu | idioma hebreo | lingua ebraica,L’hébreu est une langue chamito-sémitique appartenant à la branche centre-nord de la famille des langues sémitiques du groupe canaanéen. Elle est étroitement apparentée au phénicien et aux langues araméennes ainsi qu'à l'arabe. (wp),Canaanite languages,ebraico samaritana | Ammonite language | edomita (idioma) | lingua moabita | Biblical Hebrew,False
15981,http://mondomaine.fr//?idc=15981&idt=th943,onomastica,onomatology,"<p>Étude des noms propres (Lar.). Branche de la philologie qui a pour objet l'étude des noms propres : leur étymologie, leur formation, leur usage à travers le temps. (Wikipedia)</p>",filologia,anthroponomie | teonimia | toponimia | ancient Greek onomastics | lateinische Onomastik | Arabic onomastics | Iranian onomastics,False
16213,http://mondomaine.fr//?idc=16213&idt=th943,fonetica,Lautlehre,Ensemble des sons d'une langue du point de vue de leur articulation. (Lar.),ciencias humanas y sociales,fonologia | Aussprache,False
16668,http://mondomaine.fr//?idc=16668&idt=th943,retorica,Redekunst,<p>Art qui donne les règles du bien dire. (Lar.). Science et art de l'action du discours sur les esprits [...] « ... théorie de la parole efficace liée à une pratique oratoire ». (Wikipedia)</p>,ciencias humanas y sociales,arte oratoria | ancient Greek rhetoric | Byzantijnse retoriek | Latijnse retoriek,False
14872,http://mondomaine.fr//?idc=14872&idt=th943,genere letterario,category of literature,"Un concept de type catégoriel qui permet de classer des productions littéraires en prenant en compte des aspects de genre pictural, genre narratif ou genre dramatique, de contenu ou encore de registre . (wp)",Begriffe und Konzepte,didactic literature | Drama (Gattung) | Erzählgattung | Epistel | poesia | estilo formular | comedy,False
14601,http://mondomaine.fr//?idc=14601&idt=th943,enclos funéraire,recinto funebre,"Structure plus ou moins géométrique formée par un fossé ou un mur délimitant une aire centrale [...] associée fréquemment avec des sépultures, [ce qui conduit] souvent à les interpréter comme des éléments constitutifs de nécropoles. (Dict. de la Préhistoire, 1997)",Begräbnisplatz,cercle funéraire,False
16111,http://mondomaine.fr//?idc=16111&idt=th943,papiro,papiri,"A writing medium obtained by transforming the stems of an African plant, also known as papyrus (Cyperus papyrus), into a smooth, flexible surface several metres long that can be easily folded into a roll (Wikipedia). | Support d'écriture obtenu grâce à la transformation des tiges d'une plante africaine, également appelée papyrus (Cyperus papyrus), en une surface souple, lisse, de plusieurs mètres de long, facile à replier en rouleau.<span style= color: rgb(32, 33, 34), > (Wikipédia)</span>",Artefakt aus pflanzlichem Material,Greek papyrus | Hieratic papyrus | Demotic papyrus | magical papyrus | lateinischer Papyrus | Coptic papyrus | medical papyrus | literarischer Papyrus | Hieroglyphenpapyrus | Arabic papyrus | Aramaic papyrus | Byzantine papyrus | papiro religioso | hebräischer Papyrus | papiro siriaco | Nabataean papyrus,False
14762,http://mondomaine.fr//?idc=14762&idt=th943,Finno-Ugric languages,Fenno-Ugrian | Fenno-Ugric languages | Finnisch-ugrisch | finnisch-ugrische Sprache | finnisch-ugrische Sprachen | finno-ougrien | Finno-Ugrian | Finno-Ugrian languages | Finnougrisch | Finno-Ugrisch | finno-ugrische Sprache | finnougrische Sprachen | lenguas fino-ugras | lenguas finougras | lenguas fino-ugrias | lenguas fino-úgricas | lenguas ugro-finesas,"Famille de langues parlées en Europe, par les peuples finno-ougriens, sur une vaste aire géographique qui va de la mer Baltique et du nord de la Scandinavie jusqu'à l'Oural et au Don.  Les langues finno-ougriennes sont habituellement considérées comme formant l'une des deux grandes branches de la famille des langues ouraliennes, l'autre branche étant celle des langues samoyèdes. Cette dichotomie a été fortement remise en question ces dernières années, la branche samoyède étant désormais placée par certains au même niveau de ramification que les autres sous-familles. Avec l'effacement de cette dichotomie, le sens du terme « finno-ougrien » s'est élargi et le mot est de plus en plus souvent utilisé pour désigner l'ensemble de la famille ouralienne, y compris les langues samoyèdes. (Wikipédia)",langues ouraliennes,langues ougriennes | Finnic languages | langues sames | langues permiennes,False
27470,http://mondomaine.fr//?idc=27470&idt=th943,Ibero-Caucasian languages,Iberian-Caucasian languages | langue caucasienne | langues du Caucase | lenguas caucásicas,"Les langues caucasiennes sont un groupe hétérogène de langues parlées dans le Caucase. L'appellation n'englobe pas l'ensemble des langues parlées dans le Caucase, car d'autres familles de langues y sont représentées : c'est le cas des langues indo-européennes (arménien, plusieurs langues iraniennes ainsi que le russe) et des langues turques. Elles ne sont habituellement pas dites « caucasiennes » au sens restreint. (D'après Wikipédia)",idioma,Kartvelian languages | langues abkhazo-adygiennes | langues nakho-daghestaniennes,False
16371,http://mondomaine.fr//?idc=16371&idt=th943,poesia,genre poétique,"Genre littéraire associé à la versification et soumis à des règles prosodiques particulières, variables selon les cultures et les époques, mais tendant toujours à mettre en valeur le rythme, l'harmonie et les images. (CNRTL 2020)",genere letterario,bucolische poëzie | didactic poetry | iambic poetry | lyric poetry | mondelinge poëzie | elegiac poetry | epic poetry | erotic poetry | ancient Greek poetry | Arabic poetry | Mesopotamian poetry | Amazigh poetry | Byzantine poetry | Christian poetry | poesía española | Latin poetry | hebräische Dichtkunst | Persian literature | Italian poetry | kurdische Dichtkunst | poesia sumera | poesia siriaca | poesia turca | Indian poetry | Alexandrian poetry,False
14507,http://mondomaine.fr//?idc=14507&idt=th943,déchiffrement,decoding,"Action de déchiffrer un texte, une écriture, un message codé, etc. (Lar. 2019)",procedimiento,déchiffrement des hiéroglyphes,False
15588,http://mondomaine.fr//?idc=15588&idt=th943,Herstellermarke,stampiglia,"Signe matériel mis sur une chose pour la distinguer, la reconnaitre ou servir de repère (Petit Robert)",objetos simbólicos,contramarca | empreinte de sceau | estampilla | Handelsmarke | marca de cantero | marca de albañil | Bleimarke | marca de cantero | firma | titulus pictus,False
15084,http://mondomaine.fr//?idc=15084&idt=th943,geroglifo,jeroglífico,<p>Unité fondamentale du système idéogrammatique des anciens Égyptiens (Larousse)</p>,objetos simbólicos,ägyptische Hieroglyphen | Cretan hieroglyphs | Anatolian hieroglyphs,False
16037,http://mondomaine.fr//?idc=16037&idt=th943,ostracon,ostracon | ostraka | ostrakon | شَقْفَات | كِسَر,"Shard of pottery or shard of rock or bone used for writing, drawing or counting, and in particular to express a vote of ostracism. | Tesson de poterie ou éclat de roche ou d'ossement utilisé pour écrire, dessiner ou compter, et en particulier pour exprimer un vote d'ostracisme.",inscriptie (drager),Greek ostracon | Demotic ostracon | Hieratic ostracon | Aramaic ostracon | Coptic ostracon | Ammonite ostracon | hebräisches Ostrakon | Edomite ostracon,False
15573,http://mondomaine.fr//?idc=15573&idt=th943,Handschrift,Manuskript,A flexible medium on which a text is written by hand. | Support souple sur lequel un texte est écrit à la main.,inscriptie (drager),Arabic manuscript | Greek manuscript | lateinische Handschrift | manoscritto persiano | Coptic manuscript | Armenian manuscript | hebräische Handschrift | Aramaic manuscript | manoscritto turco | palimpsest,False
14039,http://mondomaine.fr//?idc=14039&idt=th943,Bund,confederacy | Konföderation | league | كونفدرالية,اتفاق عهدي بين الدول تحتفظ فيه كل دولة بسيادتها، توكل بعض صلاحياتها إلى هيئات مشتركة و تحل مسائلها العامة بالإجماع لا بالأكثرية ـ المعجم المزدوج | Union of sovereign states. | Union d'Etats souverains.,alianza,Beotische confederatie | Atheense confederatie,False
13735,http://mondomaine.fr//?idc=13735&idt=th943,canticle,hymn | psalm,Song in the vernacular sung in religious services. | Chant en langue vernaculaire chanté dans les offices religieux.,literarische Objekte,dithyramb,False
14118,http://mondomaine.fr//?idc=14118&idt=th943,correspondance,catalogue de lettres | letter collection,All the letters sent or received by someone. | Ensemble des lettres envoyées ou reçues par quelqu'un.,literarische Objekte,correspondance privée | administrativer Schriftverkehr,False
16983,http://mondomaine.fr//?idc=16983&idt=th943,sofistica,scuola sofistica | Sophism | sophiste,"Désigne à la fois le mouvement de pensée issu des sophistes, mais aussi le développement de la réflexion et de l'enseignement rhétorique, en principe à partir du IVe siècle av. J.-C., en pratique à partir du IIe siècle dans l'Empire romain. (d'ap. Wikipedia). Les sophistes sont des éducateurs itinérants apparus en Grèce au milieu et à la fin du Ve s. av. J.-C. Le plus ancien semble avoir été Protagoras, qui était personnellement associé à l'homme d'État Périclès. Le deuxième plus éminent est Gorgias, un auteur influent et un styliste en prose. Les sophistes parvenaient à gagner des sommes très importantes pour leur enseignement. Ils donnaient des conférences sur de nombreux sujets, dont la nouvelle philosophie naturelle, mais leur enseignement le plus important était la rhétorique, l'art d'influencer les assemblées politiques et les tribunaux par des discours persuasifs. Dans les milieux conservateurs, leur grande influence était considérée avec hostilité, comme corruptrice de la jeunesse. (d'ap. Routledge Encyclopedia of Philosophy).",corrente filosofica,seconda sofistica,False
14356,http://mondomaine.fr//?idc=14356&idt=th943,deber,devoir (concept de),Obligation morale (Lar.),normas,debito | deber del liberto,False
17406,http://mondomaine.fr//?idc=17406&idt=th943,troop,figure des mots | figure of speech | stylistic device | Trope,Figure par laquelle un mot ou une expression sont détournés de leur sens propre (Rob.),figura di stile,catachrese | metonimia | metafoor,False
15276,http://mondomaine.fr//?idc=15276&idt=th943,insegna di potere,attribut du pouvoir | simbolo di potere,"Marque extérieure d'une dignité, d'une charge ou d'un grade (CNRTL).",objetos simbólicos,faisceaux,False
17409,http://mondomaine.fr//?idc=17409&idt=th943,disturbio,Aufstand | civil unrest | disturbios | émeute | insurrezione | moto | revolt | riot | soulèvement | tumulto | tumulto | uprising,"Soulèvement populaire, émeute (Lar.)",confrontations and conflicts,Bürgerkrieg | guerra servil | Aufstand | resistance | revolt | revolución,False
14324,http://mondomaine.fr//?idc=14324&idt=th943,ceremonia,cerimonia religiosa | religious ceremony,Formes extérieures et régulières qui accompagnent la célébration d'un culte religieux (Lar.),ritual,apoteosi | mass | procesión,False
16584,http://mondomaine.fr//?idc=16584&idt=th943,Königin,monarch | ruler,Female monarch or sovereign of a Kingdom. | Femme monarque ou souveraine de Royaume.,funciones oficiales,Tawananna,False
13427,http://mondomaine.fr//?idc=13427&idt=th943,asamblea política,asamblea | deme | demos | dèmos | political assembly,Collective body made up of individuals who deliberate and make decisions. | Organe collectif composé d'individus qui délibèrent en vue de prendre des décisions.,Organisationen,amfictyonie | boule | administratieve curie | gerousia | senaat | colonge | ecclesia | comices | synedrion,False
15816,http://mondomaine.fr//?idc=15816&idt=th943,mitologia,Mythologien | mythologies,"(A) Étude, connaissance et explication des mythes, de leur signification, (B) Ensemble des mythes propres à une civilisation, à un peuple, à une religion, à un thème, à un élément. (CNRTL, octobre 2021)",ciencias humanas y sociales,assyrisch-babylonische Mythologie | comparative mythology | Greco-Roman mythology | mitologia ugaritica | Dreifunktionentheorie | ägyptische Mythologie,False
14404,http://mondomaine.fr//?idc=14404&idt=th943,adivinación,auspice | chiaroveggenza | fortune telling#augury | mantic | mantica | mantique | voyance,"Art de deviner, de découvrir ce qui est ignoré ou caché en sortant des voies ordinaires de la connaissance par le recours à des procédés occultes, à des pratiques magiques, en partic., art de prédire les événements futurs. (CNRTL, janvier 2022)",esotericism,catoptromancia | adivinación inspirada | Eingeweidedeutung | incubación | necromancia | oneiromancy,False
12749,http://mondomaine.fr//?idc=12749&idt=th943,ebrei,Jewish people,"Membres d’un peuple lié à sa propre religion, le judaïsme, et au sens large du terme à une appartenance ethnique même non religieuse. (wp)",communauté de croyants,Ashuritas | Beniamiti | Esenios | Caraítas | levieten | Masoretas | Farisei | Efesini | Zealots | Sadduceeën,False
13869,http://mondomaine.fr//?idc=13869&idt=th943,christianisme oriental,chiese cristiane orientali | chiese orientali | cristianidad oriental | Église orientale | iglesias orientales,"Le christianisme oriental regroupe plusieurs branches du christianisme et différentes confessions : les Églises antéchalcédoniennes, l'Église orthodoxe et les Églises catholiques orientales. (wp)",christendom,Chiesa ortodossa | Byzantine Rite,False
14229,http://mondomaine.fr//?idc=14229&idt=th943,culte à mystères,cerimonie misteriche | mystery cults | mystery religions | sacred mysteries,"Religion d'origine grecque ou orientale qui s'enracine, selon les historiens modernes, dans les vieux cultes de la fécondité. (CNRTL)",credenza religiosa,Eleusinian mysteries | misteri,False
13949,http://mondomaine.fr//?idc=13949&idt=th943,acconciatura,hairdressing | hairstyle,"Arrangement des cheveux, manière dont ils sont coiffés (cnrtl)",actividad artística,braid,False
15352,http://mondomaine.fr//?idc=15352&idt=th943,dagen,giornata,Durée de 24 heures réglée sur la rotation de la terre (Lar.),misura di tempo,calendae | iden,False
17291,http://mondomaine.fr//?idc=17291&idt=th943,teologia,study of divine nature | study of religious belief,"Le mot théologie évoque l’idée d’un « discours sur Dieu ». Il n’est donc pas propre à la religion chrétienne. Il convient même de noter, que ce mot n’est pas une création de la langue chrétienne (nulle part on ne le trouve dans le Nouveau Testament). Le mot et la notion sont au contraire une création typique du génie philosophique grec dans sa réflexion sur le principe ultime de toutes choses par le moyen du logos. Platon et Aristote prennent leurs distances par rapport aux mythes de la religion grecque et des poètes pour inaugurer une approche vraiment rationnelle du problème de Dieu. (Dictionnaire des Religions, Paul Poupard (dir.), PUF, 1984, p. 1687)",ciencias humanas y sociales,Dämonologie | ecclesiologia | christelijke theogonie,False
15645,http://mondomaine.fr//?idc=15645&idt=th943,Längenmaß,unidad de longitud,"A quantity used to express the distance between two points in space, expressed in units of length. | Grandeur qui permet d'exprimer la distance entre deux points dans l'espace, exprimée à l'aide d'unités de longueur.",Mass,codo,False
16027,http://mondomaine.fr//?idc=16027&idt=th943,Chiesa ortodossa,Eastern Orthodox Church | iglesias cristianas orientales | Orthodox Church | ortodossia,Ensemble des doctrines des Églises orthodoxes.,christianisme oriental,Chiesa copta,False
17621,http://mondomaine.fr//?idc=17621&idt=th943,ciencias económicas,economía | économie antique,"Ensemble des activités d'une collectivité humaine relatives à la production, à la distribution et à la consommation des richesses (Lar.). Expression utilisée pour les études économiques faites dans l'Antiquité (BL)",ciencias humanas y sociales,economic planning,False
15283,http://mondomaine.fr//?idc=15283&idt=th943,instrument de mesure,poids et mesures,"Dispositif permettant l'évaluation d'une grandeur ou d'une quantité, par comparaison avec une autre de même espèce, prise comme terme de référence. (d'après TLF)",bewegliche Gegenstände,balance | cadran solaire | clepsidra | campione (metrologia) | nilometer | gewicht | détecteur de métaux | clock | banderuola,False
15773,http://mondomaine.fr//?idc=15773&idt=th943,molino de agua,molino hidráulico | moteur hydraulique | moulin hydraulique | mulino idraulico,"Mécanisme utilisant l'énergie hydraulique pour mouvoir divers outils (moulins à grains ou à huiles, scieries, ateliers métallurgiques...). Cette énergie est fournie par l'écoulement gravitaire de l'eau , celle-ci fait tourner une roue, qui transmet son mouvement à divers mécanismes. (WP)",mill,boat-mill,False
16601,http://mondomaine.fr//?idc=16601&idt=th943,institución religiosa,administration religieuse | ente religioso | instituto religioso | istituto religioso | religion institution,"Public or private organisation, legal or social system, established to meet some specific religious need in a given society. | Organisme public ou privé, régime légal ou social, établi pour répondre à quelque besoin religieux déterminé d'une société donnée.",Organisationen,Salesianer | Chiesa (comunità) | clergé | concile | Almosenhaus | papacy | priesterschap | sinodo | episcopaat,False
14072,http://mondomaine.fr//?idc=14072&idt=th943,construcción naval,cantiere navale | construcción de barcos | construction maritime | construction nautique | ship construction,Processus par lequel un bateau ou un navire est fabriqué et assemblé. (Wikipédia),Baukonstruktion,construcción monóxila | construcción polixila,False
16829,http://mondomaine.fr//?idc=16829&idt=th943,abilità tecnica,craftsmanship | expertise | habilidad técnica | padronanza tecnica | Sachverstand | skill,"Compétence, expérience dans l'exercice d'une activité (Rob.)",Begriffe und Konzepte,berufliche Qualifikation | capacidad jurídica,False
16825,http://mondomaine.fr//?idc=16825&idt=th943,kennis,conoscenze | wisdom,Ensemble de connaissances acquises.,Begriffe und Konzepte,erudición,False
16851,http://mondomaine.fr//?idc=16851&idt=th943,escoria,dross | scoria | waste,Résidu solide provenant de la fusion des minerais métalliques (Rob.),metalen object,escorias de ferrería,False
13705,http://mondomaine.fr//?idc=13705&idt=th943,calcolo,arithmetic | calculus | computation,"Méthode particulière à certaines branches des mathématiques, employée en vue d'obtenir des résultats ou des relations de nature mathématique (CNRTL).",procedimiento,accounts,False
27631,http://mondomaine.fr//?idc=27631&idt=th943,beenderbewerking,façonnage del hueso | processing,Toutes opérations techniques visant la transformation d'un support en matières dures d'origine animale en une pièce de mobilier (E.David).,Bearbeitung,conformación de aproximación (materia dura animal) | conformación inicial (materia dura animal),False
13461,http://mondomaine.fr//?idc=13461&idt=th943,atelier métallurgique,atelier de métallurgie | atelier métallifère | fabbrica metallurgica | metallurgy workshop,Lieu de production et de transformation des métaux et de fabrication d'objets en métal.,atelier,atelier d'orfèvre | atelier de bronzier | atelier d'armurier,False
12658,http://mondomaine.fr//?idc=12658&idt=th943,Ägypter,Aiguptioi | Egizi | Masryeen | Maṣryyīn | Mitsráyīm | remenkhēmi,"Inscription qui est rédigée en égyptien,langue chamito-sémitique parlée dans l'Égypte antique au temps des Pharaons et écrite au moyen des hiéroglyphes.",Africains,Meroïeten,False
17379,http://mondomaine.fr//?idc=17379&idt=th943,curtido de pieles,concia | cordonnerie (activité) | curtición | Gerberei (Aktivität) | leather working | mégisserie | proceso de curtido | processo conciario | Schusterei (Aktivität) | tannage | tannerie (activité) | tanning,"Travail effectué sur la peau animale (le plus souvent des bovins, équins, porcins, caprins et ovins) pour la transformer en cuir, avec différents procédés manuels et chimiques, et traité en vue d'un usage particulier, fabrication de chaussures, d'habits, de bagages, le harnachement des chevaux, etc ... (WP)",ambacht,bontwerkerij,False
13681,http://mondomaine.fr//?idc=13681&idt=th943,agrarisch gebouw,bâtiment agricole | costruzione agricola | unidad construida agrícola,Construction d’une certaine importance destinée à abriter ce qui se rapporte à l’agriculture.,bouwwerken,aprisco | aprisco | barn | altillo | aia | arnia | silo | animal stall | caballeriza | boomgaard | aviario | laiterie | Aia (agricoltura) | orangerie | pigsty | Eiskeller | colombaia | fishpond,False
16985,http://mondomaine.fr//?idc=16985&idt=th943,saldatura,soldering | soudage,"Assemblage de deux pièces de métal, de verre ou de deux produits synthétiques en un tout continu, généralement obtenu en chauffant, ou au moyen d'un métal ou d'un alliage intermédiaire. (CNRTL)",metaalnijverheid,brasatura,False
21374,http://mondomaine.fr//?idc=21374&idt=th943,fosa ritual,cultural pit | fossa cultuale | religious pit,"Fosse utilisée pour le culte, cérémonial pratiqué dans telle ou telle confession religieuse, pratiques d'hommage ou de vénération rendu à une divinité, un être vivant mythique ou réel.",bouwwerken,favissa,False
17026,http://mondomaine.fr//?idc=17026&idt=th943,kustnederzetting,station néolithique littorale,"Type d'habitat préhistorique particulier, situé en bord de lac, d'étang ou de marais.",abitato,paalwoning | terramare,False
15897,http://mondomaine.fr//?idc=15897&idt=th943,anthroponym,name of a person | nombre personal | nom de personne | nome | nome di persona | Personenname | proper name,nom de personne (CNRTL),eigennaam,gentilice | praenomen | apellido | nombre de esclavo | cognombre,False
16587,http://mondomaine.fr//?idc=16587&idt=th943,rapporto sessuale,coitus | relazione sessuale | sex | sexual relations,Acte sexuel entre personnes.,behavior,incest | prostitución,False
2745,http://mondomaine.fr//?idc=2745&idt=th943,Titanen,hoi Tītânes | Titánes,"Puissances primordiales, les Titans et leurs soeurs les Titanides sont les enfants d'Ouranos et Gaïa, et fères des cyclopes et des Hécatonchires. (IdRef)",figure greche,Giapeto | Océan (divinité) | Titanesses | Crono,False
16159,http://mondomaine.fr//?idc=16159&idt=th943,Maler,artiste peintre,"A person who practises painting as a fine art or plastic arts discipline. | Personne pratiquant la peinture, comme discipline des beaux-arts ou des arts plastiques.",artiest,greek painter | Italiotes painter | Etruscan painter,False
15792,http://mondomaine.fr//?idc=15792&idt=th943,musician,musicante,A person who plays or composes music. | Personne qui joue ou compose de la musique.,artiest,navicularius utricularius,False
14826,http://mondomaine.fr//?idc=14826&idt=th943,forno fusore,metallurgical furnace,Désigne différents types de fours destinés au raffinage des métaux. (WP),bouwwerken,bas-fourneau | bas-foyer | forno a tino | alto forno,False
15582,http://mondomaine.fr//?idc=15582&idt=th943,Heirat,boda | casamiento | noces,"Le mariage est une union conjugale contractuelle et/ou rituelle, à durée illimitée, déterminée ou indéterminée, reconnue et encadrée par une institution juridique ou religieuse qui en détermine les modalités. Le terme désigne à la fois la cérémonie rituelle, l'union qui en est issue et l'institution en définissant les règles. C'est l'un des cadres établissant les structures familiales d'une société. (WP le 01.07.20)",événement social,hierogamia | Heirat unter Sklaven,False
15216,http://mondomaine.fr//?idc=15216&idt=th943,individu,être humain,Être formant une unité distincte. (Le Robert),Begriffe und Konzepte,donna | hombre,False
13754,http://mondomaine.fr//?idc=13754&idt=th943,carrier,Steinbrecher,A person working in a quarry to extract building materials. | Personne travaillant dans une carrière pour l’extraction de matériaux de construction.,ambachtsman,marble worker,False
14676,http://mondomaine.fr//?idc=14676&idt=th943,agricultural holding,agricultural operation | établissement agricole | explotación agraria | farm | farm operation | farm-stead | homestead | installation agricole,Unité économique et sociale élémentaire où se réalise la production agricole et composée de bâtiments divers (Lar.),Baukomplex,Pflanzung,False
14599,http://mondomaine.fr//?idc=14599&idt=th943,Befestigungsanlage,enclos fossoyé,"Espace délimité par une clôture, éventuellement un fossé, sur tout ou partie de son pourtour (d'ap. Wikipedia, Atelier Mort, fév. 2021)",bouwwerken,circular enclosure | corral cuadrangular,False
15579,http://mondomaine.fr//?idc=15579&idt=th943,Kaufmann,comerciante | commerçant | commerciante | négociant | vendedor,Intermediary involved in the resale of goods. | Intermédiaire qui s'occupe de la revente de marchandises.,funciones oficiales,Bäcker | bottegaio | Händler,False
13129,http://mondomaine.fr//?idc=13129&idt=th943,agricoltore,campesino | contadino | paysan,"A person who, professionally or otherwise, cultivates land or raises animals. | Personne qui procède professionnellement ou non à la mise en culture de la terre ou à l'élevage d'animaux.",funciones oficiales,berger | Ackerbauer | Bauer | porcaio | ectemoro,False
14731,http://mondomaine.fr//?idc=14731&idt=th943,Erbpächter,fermier fiscal | fermier général,"Under the Ancien Régime, a person who undertook the collection of certain taxes. | Sous l'Ancien Régime, personne qui prenait à ferme le recouvrement de certains impôts.",finance staff,pubblicano,False
13991,http://mondomaine.fr//?idc=13991&idt=th943,comercio,business | commerce | market | négoce,Activité d'achat et de revente de biens et de services.,fonctions systémiques,comercio marítimo | comercio fluvial,False
13412,http://mondomaine.fr//?idc=13412&idt=th943,artes decorativas,art décoratif | arti minori | arts mineurs | décoration intérieure | decorazione,"Ensemble des disciplines visant à la production d'éléments propres à décorer, d'objets, d'usage pratique ou non, ayant une valeur esthétique (Lar.)",art,bijouterie | glíptica | Bildwirkerei | toreutica | Emaille | estampa | boiserie,False
15290,http://mondomaine.fr//?idc=15290&idt=th943,intelectual,Intellektueller,A person whose activity is based on the exercise of the mind. | Personne dont l'activité repose sur l'exercice de l'esprit.,funciones oficiales,Astronom | copista | giurista | orador | filosofo | Dichter | Pädagoge | escriba | secrétaire | écrivain | éditeur | engineer | retor | mimografen | Arabische Übersetzer | naturalista,False
